Sequence accepted

Parse Tree (Father/Sibling Relations):
========================================

Index | Symbol | Type | Production | Father | Sibling | Lexeme | ST Location
  412 | power_tail | NTERM |         78 |    407 |      -1 | -      | -
  413 | mul_tail | NTERM |         72 |    405 |      -1 | -      | -
  414 | add_tail | NTERM |         67 |    404 |      -1 | -      | -
  415 | relation_tail | NTERM |         63 |    403 |      -1 | -      | -
  416 | equality_tail | NTERM |         57 |    402 |      -1 | -      | -
  417 | logic_and_tail | NTERM |         53 |    401 |      -1 | -      | -
  418 | logic_or_tail | NTERM |         50 |    400 |      -1 | -      | -
  419 | pipe_expr_tail | NTERM |         31 |    399 |      -1 | -      | -
  420 | expr_list_tail | NTERM |        113 |    397 |      -1 | -      | -
  421 | RBRACKET | TERM |         -1 |    395 |      -1 | ]      | -
  422 | power_tail | NTERM |         78 |    393 |      -1 | -      | -
  423 | mul_tail | NTERM |         72 |    391 |      -1 | -      | -
  424 | add_tail | NTERM |         67 |    390 |      -1 | -      | -
